trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,train_trend_share,test_trend_share,test_active_btc_trades,pen_share_test,pen_share_train,pen_btc_active,pen_balance_test,pen_balance_train,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
159,-0.00035807181266625326,-0.013169070987679384,-0.018266856877529478,-0.1393314597712303,7.627555233250086,-0.044514152077601565,3.380204428941705,0.6669685990338164,0.7473093121197941,36,1.0,1.0,1.0,0.40362005193987566,0.5530754244364041,23.27820542800309,20.437434850445968,0.00822871927987015,0.007323429810439122,1.0,0.1
470,-0.0004261112553682891,-0.01592903672863395,0.09050675542216761,0.5157556857433576,5.698532483433107,-0.048195526684269296,3.0256397486756548,0.6618357487922706,0.7393542349087506,36,1.0,1.0,1.0,0.41471658445863985,0.5664766248574685,23.631952070498567,20.38940723145509,0.008590435584350164,0.007072817389444652,0.8,0.1
290,-0.0007330985077284059,-0.0358322602074959,0.07479416148349138,0.5362223503883934,7.169307600390021,-0.12112036465237175,3.3802044289417745,0.6742149758454107,0.7543284978942443,37,1.0,1.0,1.0,0.3943107557469055,0.5352006463775921,23.381089151535008,20.275400045128034,0.008297089964062766,0.0071052534471045805,1.0,0.1
254,-0.0009570408706849083,-0.03907139261269913,0.008747089393503937,0.06052293579414947,6.919208558574591,-0.13206929435436443,3.3802044289416697,0.6628925120772947,0.7482452035563875,36,1.0,1.0,1.0,0.4023534949399859,0.5636647284073181,23.240576810570893,20.868587107994998,0.00829974221757092,0.007109545632531491,1.0,0.1
247,-0.0013429758740496835,-0.059634840884165916,0.07624902516634573,0.44012368356001197,5.77218767846321,-0.1616679364504825,2.71096449749073,0.6637983091787439,0.7571361722040243,37,1.0,1.0,1.0,0.3907061781061934,0.5612766558395708,23.670848404293245,20.67023965326911,0.008469411497571425,0.006822648495414536,0.8,0.1
252,-0.0015641348906969392,-0.06389525953603713,0.042991581202411186,0.30736535777216023,7.149431334591657,-0.22058588289168846,3.4523043570591856,0.668780193236715,0.740290126345344,36,1.0,1.0,1.0,0.41337954380591596,0.5484957217775324,23.342998006617876,20.53887710395115,0.008534928661383797,0.007101744014892547,1.0,0.1
191,-0.0016791893034287864,-0.06964740291973233,0.05478396174401651,0.39167417272574223,7.149431334591657,-0.24044403255764069,3.4523043570590723,0.6669685990338164,0.744501637810014,36,1.0,1.0,1.0,0.40746802256296183,0.5530754244364041,23.37623216506967,20.54873715560964,0.008421819876780546,0.007157588981104652,1.0,0.1
479,-0.0016812488034352333,-0.08197726278215547,-0.03615162061928641,-0.28147037155694665,7.785829977613395,-0.2770999067287616,3.3802044289417252,0.6719504830917874,0.7571361722040243,37,1.0,1.0,1.0,0.3907061781061934,0.5406611345395186,23.26569647120261,20.45197672694089,0.008272959349773516,0.007057538564453208,1.0,0.1
1,-0.0017544505445375987,-0.08209796693522402,0.18758293788156352,1.3042158634044565,6.952742494244944,-0.2775079114415546,3.380204428941714,0.6683272946859904,0.7571361722040243,37,1.0,1.0,1.0,0.3907061781061934,0.5496335223343934,23.676538703114538,20.353398974845824,0.008537537455748216,0.00685216329957765,1.0,0.1
295,-0.001935033124002419,-0.10563158671112086,0.13525345823391738,0.9624979735340489,7.116254076619863,-0.3570563572370733,3.380204428941732,0.680102657004831,0.7599438465138044,38,1.0,1.0,1.0,0.38716690571450135,0.5215063639942263,23.30334491207297,20.175571980803657,0.0086022910291595,0.0068774197746781325,1.0,0.1
98,-0.0019410435897460887,-0.08197726278215547,0.015097069484275825,0.11888973472407027,7.875020701726151,-0.2770999067287616,3.3802044289417252,0.6598731884057971,0.7566682264857276,37,1.0,1.0,1.0,0.3913023575188831,0.5717738454898575,23.849261805783204,20.50846640811905,0.008216304013856266,0.00691961640941752,1.0,0.1
136,-0.0021986341496078162,-0.11884363955486348,0.1331801970668778,0.8373660511288739,6.2874666772596965,-0.3619987015182957,3.046008207710444,0.6791968599033816,0.7599438465138044,38,1.0,1.0,1.0,0.38716690571450135,0.5235673824265578,23.289327012515116,20.152493969205494,0.008615171072790083,0.0069051144367627834,0.9,0.2
398,-0.0022306926624887586,-0.09597899307625175,-0.07794085890234849,-0.6070877604117175,7.789082247250229,-0.32442861748172014,3.380204428941796,0.6604770531400966,0.7580720636406177,37,1.0,1.0,1.0,0.3895192526771473,0.5701334098407689,23.73945574282754,20.612335397894856,0.008277051112201127,0.006864209857216696,1.0,0.1
193,-0.00237873490155811,-0.1378099523103061,0.028856826949194763,0.18747466611643837,6.496717967173095,-0.4197702458413888,3.0460082077105275,0.6838768115942029,0.7622835751052878,38,1.0,1.0,1.0,0.3842661272195999,0.5130906274206042,23.36529460336115,19.716484558433066,0.008212624866808928,0.007153311753230265,0.9,0.1
272,-0.0024781797875647544,-0.138593013469015,0.024583962635868536,0.14424330720972378,5.867374163645598,-0.38188807700033633,2.7554641279642453,0.6802536231884058,0.7627515208235844,38,1.0,1.0,1.0,0.3836911797710781,0.5211644374508262,23.446218241967948,19.796448111372033,0.008229296617229527,0.007084039860606106,0.8,0.1
472,-0.0024996403361072935,-0.09078148581298301,0.11321631195250448,0.7031094817623096,6.210319605334538,-0.2940333260686989,3.2389129064755635,0.6631944444444444,0.7342068320074872,36,1.0,1.0,1.0,0.42222771054581376,0.5628664495114007,23.550318719372093,20.394577955577116,0.008518172694550932,0.0072774067559887076,0.9,0.1
270,-0.002529253697617646,-0.12811580174287795,0.15047213169301052,0.9707887064095644,6.4516179540151875,-0.39024178364622797,3.0460082077105826,0.6781400966183575,0.7533926064576509,38,1.0,1.0,1.0,0.3955271072723066,0.5259925886712546,23.43449304554282,20.263471695516674,0.008820952319762737,0.006837860322219335,0.9,0.1
323,-0.0025585265093502653,-0.07541112499377393,-0.05337208901608801,-0.293784027979227,5.504450610705369,-0.22816689727351847,3.0256397486757596,0.6514190821256038,0.7267197005147403,36,1.0,1.0,1.0,0.43365181364674044,0.595772747713986,23.442962337726573,20.934141392344102,0.008662107516691346,0.007265697215103243,0.8,0.1
258,-0.0026522485080670887,-0.14403876079287062,0.1463495072878726,0.8972232692998627,6.130688691250633,-0.43874324760354577,3.0460082077105866,0.6785929951690821,0.7613476836686944,37,1.0,1.0,1.0,0.3854212068835951,0.5249504688944657,23.37414191244653,20.299921368588365,0.008429503517850614,0.006882559752635522,0.9,0.3
259,-0.0026601451491297234,-0.0968914854446969,-0.03451712875720209,-0.25122865553834917,7.278376405683212,-0.33449889736266725,3.4523043570592216,0.6627415458937198,0.7351427234440805,36,1.0,1.0,1.0,0.42084188069254125,0.5640647175702527,23.31564448654443,20.662220971864354,0.008692278605730838,0.007081466076293296,1.0,0.1
412,-0.002681382931865296,-0.13255809912733918,0.07440833597510227,0.42082400862910596,5.655603006226582,-0.3863303702507648,2.9144229797656087,0.6766304347826086,0.7524567150210576,37,1.0,1.0,1.0,0.396750986307728,0.529496402877698,23.350644416941385,20.26824589480947,0.008382510711883374,0.0070703301168558155,0.8,0.2
196,-0.002767894904075664,-0.0968914854446969,0.04560502762717535,0.32269603605412644,7.075887305500429,-0.33449889736266725,3.4523043570592216,0.6583635265700483,0.7365465605989705,36,1.0,1.0,1.0,0.4187801094145505,0.5759165338356761,23.60978237296587,20.56645399196076,0.008566434017678145,0.007112870728827851,1.0,0.1
187,-0.002878191038693751,-0.14547242079826928,0.043474744467005354,0.2765183010817296,6.360435339455299,-0.44311018774705335,3.0460082077105652,0.6734601449275363,0.7594759007955078,38,1.0,1.0,1.0,0.38775232479020183,0.5370085123631941,23.705088637273963,19.73466991699436,0.008248440071333287,0.007186896085852417,0.9,0.1
355,-0.002900027600375464,-0.08748147505336683,0.08288593117934868,0.5747787059568799,6.934574996969907,-0.3020126774886944,3.4523043570590906,0.6539855072463768,0.7257838090781469,36,1.0,1.0,1.0,0.43512344107915507,0.5882770870337477,23.738390664849312,20.403881453711307,0.008841595993424024,0.007254410313982595,1.0,0.1
365,-0.002937565286323764,-0.16531388251462875,0.10360126096146278,0.6771712870762947,6.536322828427604,-0.5035474429880504,3.046008207710512,0.6832729468599034,0.7594759007955078,38,1.0,1.0,1.0,0.38775232479020183,0.5144188454568989,23.89243312914206,19.160499985258735,0.00830639184506854,0.007324732233014555,0.9,0.1
