trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
50,0.5359487315255081,1000.0,1019.1454560326546,1.9145456032654495,36.644263291372226,3.5722551256273065,92,32,38,160,24.0,12,2.1,3.4000000000000004,0.0028,18,32,2.4000000000000004,17,35,64,21.0,19,1.6,0.004
270,0.5352474097296592,1000.0,1023.0801031391184,2.3080103139118346,44.69986960430515,4.312043873463219,215,13,40,180,19.0,10,1.3,2.3,0.0028,18,16,2.3000000000000003,11,32,70,16.0,17,1.9,0.0076
111,0.51638507533944,1000.0,1025.547138407265,2.554713840726497,51.22428961070125,4.947303790775099,169,39,14,310,27.0,18,1.6,3.2,0.0026000000000000003,26,38,1.6,17,42,70,19.0,20,1.5,0.004
13,0.49202469122699066,1000.0,1009.9368794483661,0.9936879448366076,20.803344420032317,2.0195895908365697,36,7,36,180,32.0,18,2.2,2.4000000000000004,0.003,18,26,2.6,20,33,65,18.0,17,1.3,0.0034000000000000002
286,0.4630096643789653,1000.0,1013.1159709951719,1.311597099517181,29.309031268303215,2.8327639797247555,199,5,22,260,22.0,20,1.8,3.0,0.0026000000000000003,12,14,2.4000000000000004,20,41,71,15.0,18,2.2,0.0058
283,0.4620728878103362,1000.0,1012.3789240052977,1.237892400529761,27.235619633391366,2.6789981260226416,86,1,40,300,26.0,15,1.5,2.3,0.0034000000000000002,18,36,1.7000000000000002,14,28,64,10.0,12,2.5,0.005600000000000001
171,0.3687448796473013,1000.0,1016.1889494659179,1.6188949465917757,46.08367840637197,4.3902845461616264,150,0,22,300,26.0,12,1.2,2.8,0.0035,26,28,1.7000000000000002,20,31,69,19.0,17,1.3,0.0076
74,0.3495997378529027,1000.0,1025.2104279918958,2.521042799189588,76.12224177906978,7.2112262288089575,182,0,36,320,20.0,11,1.7000000000000002,2.6,0.0018,28,36,2.2,20,29,71,15.0,20,2.5,0.0054
10,0.3407442328578516,1000.0,1013.9359104637178,1.3935910463717782,42.830572142635106,4.089844851323259,194,87,30,150,22.0,16,1.2,3.2,0.0008,18,30,1.8,18,42,59,20.0,14,2.5,0.006
102,0.33506257183830057,1000.0,1016.1170383145682,1.6117038314568122,49.927302459296584,4.810157764307414,118,39,38,250,22.0,13,2.2,3.4000000000000004,0.0011,20,26,1.7000000000000002,14,38,68,19.0,17,2.0,0.006200000000000001
9,0.3102625777491284,1000.0,1023.9173825275699,2.391738252756981,82.90039539012798,7.708755177979887,219,45,14,240,24.0,19,1.7000000000000002,3.4000000000000004,0.0016,26,40,1.6,20,39,59,20.0,18,2.4000000000000004,0.0036
