strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason,state
BTC_TREND,BTC/USDT:USDT,long,1765058400000,1765062000000,89704.20518613448,89067.07137045015,0.004350868430207375,-3.004596869876533,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1765706400000,1765710000000,90550.21315769471,89607.69887872,0.004313088249542362,3.833255713810349,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1765803600000,1765807200000,89422.37364477298,88307.53992472173,0.004384284408755694,4.655448874895275,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1765890000000,1765893600000,86718.02447113203,87562.69687064041,0.004542123004615943,-4.075238261052609,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1766080800000,1766084400000,87340.05694721242,85322.27307748348,0.004485101805439707,8.820358628493965,tp,TREND
BTC_TREND,BTC/USDT:USDT,long,1767567600000,1767571200000,91104.1952593401,91919.55296702075,0.004326423711613776,3.288973159846162,tp,TREND
BTC_TREND,BTC/USDT:USDT,long,1767834000000,1767837600000,91644.6609261868,90872.74908658936,0.004284848121718439,-3.541150552974739,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1767916800000,1767920400000,90623.64565343004,91471.6603771852,0.004317146761385427,-3.8979419676802824,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1768993200000,1768996800000,89863.06205225283,88325.62930667712,0.004276582606786517,6.3483190288173015,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1769011200000,1769014800000,89486.32004291436,87827.35549114489,0.004322620385402072,6.943287399792951,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1769432400000,1769436000000,87625.05098789056,88406.27728458082,0.00442026846181332,-3.687697648383601,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1769864400000,1769868000000,83831.35531209265,82199.71532311081,0.0045518340401399906,7.202458765722657,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1770213600000,1770217200000,76549.08388377515,73864.26424457517,0.00508289316041954,13.421384882932736,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1770386400000,1770390000000,66364.01632440061,68781.52881150032,0.005943405228356862,-14.613534254218004,sl,TREND
BTC_TREND,BTC/USDT:USDT,long,1771135200000,1771138800000,69568.40038020116,70682.21977913816,0.0056304931844492895,6.032567080385299,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1771862400000,1771866000000,66317.03087573693,65043.69685493082,0.005907873996483807,7.292134971187951,tp,TREND
BTC_TREND,BTC/USDT:USDT,short,1771956000000,1771959600000,63774.03360785579,64602.87346179228,0.006188697036745992,-5.36932331492872,sl,TREND
BTC_TREND,BTC/USDT:USDT,short,1771977600000,1771981200000,63995.410308211794,64788.109306894716,0.00613323467011376,-5.100225388613854,sl,TREND
SOL_BBRSI,SOL/USDT:USDT,long,1765461600000,1765465200000,131.1778155811614,132.7493,3.049296088884136,4.54904613933162,tp,RANGE
SOL_BBRSI,SOL/USDT:USDT,short,1766048400000,1766052000000,130.80150782171575,123.80725,3.0717353732907626,21.256327295302953,tp,RANGE
SOL_BBRSI,SOL/USDT:USDT,long,1766584800000,1766588400000,121.88334202334441,122.5314,3.385018854538102,1.9448258102492268,tp,RANGE
SOL_BBRSI,SOL/USDT:USDT,short,1766934000000,1766937600000,123.95616870934518,124.19485,3.3344232823421525,-1.0443353722511155,tp,RANGE
SOL_BBRSI,SOL/USDT:USDT,short,1768143600000,1768147200000,137.89221910009113,139.1036069642627,2.9944197152655776,-3.8773244532038147,sl,RANGE
SOL_BBRSI,SOL/USDT:USDT,long,1768744800000,1768748400000,142.8368312044881,141.55160089214954,2.8796719559714745,-3.9456149926530313,sl,RANGE
SOL_BBRSI,SOL/USDT:USDT,long,1770948000000,1770951600000,78.23696993096542,79.4331,5.2368089613706585,6.014319082539527,tp,RANGE
SOL_BBRSI,SOL/USDT:USDT,long,1771434000000,1771437600000,83.21936735125519,81.55029725351255,4.951792221315741,-8.507180403384233,sl,RANGE
SOL_BBRSI,SOL/USDT:USDT,short,1771678800000,1771682400000,85.25385618263415,86.48164726676255,4.793321912321614,-6.133918532220227,sl,RANGE
