month,return_pct,equity_end
2024-09,,1000.0
2024-10,-0.5589646904542445,994.4103530954576
2024-11,0.3191334020500536,997.5838486856292
2024-12,-1.2043482081743329,985.5694654789472
2025-01,0.0,985.5694654789472
2025-02,0.0,985.5694654789472
2025-03,-0.7243838279891501,978.4301596574186
2025-04,1.1478307727797121,989.660882120124
2025-05,0.0,989.660882120124
2025-06,0.0,989.660882120124
2025-07,0.44320046170764904,994.0470637190205
2025-08,0.0,994.0470637190205
2025-09,-0.2939208802440918,991.125351839297
2025-10,-0.9560960660210949,981.6492413410238
2025-11,0.0,981.6492413410238
2025-12,-0.40405764309493497,977.6828125530019
2026-01,0.0,977.6828125530019
2026-02,0.0,977.6828125530019
