strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,reason
trend,BTC/USDT:USDT,short,1725224400000,1725228000000,58294.28275874439,57374.37675674632,0.004288585229440857,3.7974623498184914,tp
trend,BTC/USDT:USDT,long,1725364800000,1725368400000,58825.47344663077,58318.223061456534,0.004281711925419876,-2.321721122065276,sl
trend,BTC/USDT:USDT,short,1725602400000,1725606000000,56501.470198808,55400.61040984213,0.004436834694012048,4.736850894725056,tp
trend,BTC/USDT:USDT,short,1725627600000,1725631200000,56321.4789778892,55150.05557426623,0.00449262065754937,5.114100014490574,tp
trend,BTC/USDT:USDT,short,1725829200000,1725832800000,54306.976592971245,54949.72707428996,0.004705892370670613,-3.1798670871281893,sl
trend,BTC/USDT:USDT,short,1725894000000,1725897600000,54958.73064466268,55484.21388608218,0.004620690725968697,-2.58192077580369,sl
trend,BTC/USDT:USDT,long,1725987600000,1725991200000,56723.62409326692,57704.00807000759,0.004453716523257014,4.212153939826637,tp
trend,BTC/USDT:USDT,long,1726236000000,1726239600000,57707.20202068981,58687.14945884925,0.004413864246400398,4.169932694211878,tp
trend,BTC/USDT:USDT,long,1726437600000,1726441200000,59753.608533837854,59319.46335410583,0.004297167271246065,-2.018537851197589,sl
trend,BTC/USDT:USDT,long,1726473600000,1726477200000,59128.08838923406,58669.339972577174,0.0043251238429404355,-2.1363950114928407,sl
trend,BTC/USDT:USDT,long,1726527600000,1726531200000,58278.37168047513,57722.126989157674,0.004369417442540585,-2.5817924976552824,sl
trend,BTC/USDT:USDT,long,1726851600000,1726855200000,63205.88990156068,62596.9278000489,0.004007952006306207,-2.591222165937473,sl
trend,BTC/USDT:USDT,long,1727038800000,1727042400000,63023.38930513523,62390.391013927605,0.003998598493662776,-2.680790487830306,sl
bbrsi,SOL/USDT:USDT,short,1727182800000,1727186400000,147.77534814548022,145.6184,2.0301085652301043,4.201466208239511,tp
trend,BTC/USDT:USDT,long,1727650800000,1727654400000,65796.50357585598,65360.11296508919,0.003809315391435776,-1.8117358408543425,sl
bbrsi,SOL/USDT:USDT,long,1727697600000,1727701200000,154.5500566879676,157.20245,1.9571968215815831,5.006650078603135,tp
trend,BTC/USDT:USDT,short,1727784000000,1727787600000,63779.26122627096,62894.63138182522,0.003915202169000768,3.3157575674140074,tp
trend,BTC/USDT:USDT,short,1727892000000,1727895600000,61588.85775693611,60260.82528552204,0.004080959104580481,5.272093027236659,tp
trend,BTC/USDT:USDT,short,1727956800000,1727960400000,61148.41405010925,59882.89504542887,0.004153051654756119,5.10654774269715,tp
trend,BTC/USDT:USDT,short,1728025200000,1728028800000,60759.76459734465,61524.23868918523,0.004221221107016275,-3.3828386212132946,sl
trend,BTC/USDT:USDT,short,1728252000000,1728255600000,62322.75795340867,62634.1511638667,0.004087805831947033,-1.4265367307830719,sl
trend,BTC/USDT:USDT,long,1728306000000,1728309600000,63065.70646668147,63818.868713879994,0.004027935354382149,2.8794538765352593,tp
trend,BTC/USDT:USDT,long,1728334800000,1728338400000,63273.10943293214,62627.682832615756,0.004037084876892084,-2.757341930024164,sl
trend,BTC/USDT:USDT,short,1728493200000,1728496800000,62203.87400203911,61388.96990074425,0.004083904779643917,3.1775667296724928,tp
trend,BTC/USDT:USDT,short,1728572400000,1728576000000,61108.26115750761,60341.980625463184,0.004182709070799582,3.0536927623320596,tp
