trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,train_trend_share,test_trend_share,test_active_btc_trades,pen_share_test,pen_share_train,pen_btc_active,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
65,0.05591206741576082,0.11644378303811355,0.9949482109349442,2.384966768110175,2.397076291909749,0.39650080481505867,3.405083504417568,0.13707729468599034,0.24754328497894243,10,1.0,0.9569243156199678,0.4,22.19903515308018,20.282963477215254,0.008628972585982978,0.007388689812318956,1.0,0.1
410,0.054147721170597844,0.19703443465611972,0.5655552906404668,1.5126181479079737,2.674571651862719,0.6220021062836922,3.1568193009981234,0.1592693236714976,0.26017781937295276,10,1.0,1.0,0.4,22.037578494556914,20.490913122509767,0.008385715203515736,0.006858611472414828,1.0,0.2
282,0.053046356493027906,0.24220691356216703,0.36376892269996985,0.7613302433169711,2.0928952304837285,0.6939434704648306,2.8650853118060016,0.14855072463768115,0.24801123069723913,10,1.0,0.9951690821256038,0.4,22.135124179861474,20.55703074701373,0.008653795713379295,0.007029712641013266,0.8,0.1
379,0.050453106960480144,0.06215092772066581,1.01272396312934,2.4275766022662237,2.397076291909749,0.20503315614346374,3.2989556819646335,0.15745772946859904,0.2573701450631727,10,1.0,1.0,0.4,22.165257146422384,20.059983628006172,0.008464210394899285,0.006952997387364521,1.0,0.2
176,0.049900292729676,0.14466218872518563,1.0025412055353644,2.403167755451441,2.397076291909749,0.5417275489578044,3.744776390649825,0.14221014492753623,0.23724847917641553,9,1.0,0.9740338164251208,0.36,22.01614576140566,20.49311870143409,0.008970314634295101,0.006869101824469855,1.0,0.1
227,0.04465797001057442,0.10889492850777878,0.6983301040846659,1.3463863373551543,1.9280084439721044,0.3255747561788924,2.989806418355244,0.1453804347826087,0.25549836218998595,10,1.0,0.9846014492753623,0.4,21.5817111188007,20.061209641545297,0.008480879787965889,0.007265736937594601,0.8,0.1
420,0.043355274689476114,0.13010336394743058,0.5634684114471802,1.448391189292697,2.570492258071276,0.4430128184466309,3.405083504417566,0.15942028985507245,0.26017781937295276,10,1.0,1.0,0.4,21.508505235735477,20.370631983589114,0.008414725437719369,0.006961351378118088,1.0,0.1
73,0.0414429779300108,0.1871328981165476,0.2875428557840797,0.8450756745471022,2.938955559312113,0.590744744626015,3.1568193009980283,0.15066425120772947,0.2508189050070192,10,1.0,1.0,0.4,21.522082029629832,20.49626912031778,0.00852486013500653,0.007141463152919486,1.0,0.2
387,0.041311545651906145,0.09556745307540525,0.6505188289960325,1.5593432624272818,2.397076291909749,0.31898157746570455,3.337763717675092,0.15579710144927536,0.2653252222742162,10,1.0,1.0,0.4,22.241790511735875,19.741409842862517,0.00837701927865298,0.007137514836478612,1.0,0.1
418,0.04020372845253105,0.14255907843818658,0.43485689756052975,1.0202664926099558,2.346212048914184,0.45582529981356146,3.1974484179287583,0.15640096618357488,0.2564342536265793,10,1.0,1.0,0.4,21.97329099171724,20.196087595588544,0.008433477881037058,0.00703114275043759,0.9,0.1
56,0.03884380216167828,0.13677855885552417,0.42398081861986,1.1175465496496395,2.635842237598085,0.40894141315961363,2.989806418355149,0.16576086956521738,0.26579316799251285,10,1.0,1.0,0.4,22.28306075694204,20.103360842252783,0.008260195088059015,0.0068058018197650035,0.8,0.1
219,0.03640160441851324,0.025873153543352383,0.8065474962894215,1.9359889374928052,2.4003408930031505,0.08415065590128279,3.2524313574795642,0.161231884057971,0.27655591951333647,10,1.0,1.0,0.4,21.633701937660938,19.602838724036875,0.008404415603217167,0.006882340883154396,0.9,0.1
284,0.03600327264120573,0.04342125236668414,0.7263968065634064,1.7412285635320934,2.397076291909749,0.1478529901749459,3.4050835044175094,0.15428743961352656,0.258306036499766,10,1.0,1.0,0.4,22.19410213785735,20.05891976307258,0.008399689322474719,0.007189736442023619,1.0,0.1
94,0.03525970790740449,0.017414298357075794,0.811835504256809,1.9076245021626859,2.3497672769424045,0.05568132073117127,3.197448417928752,0.1520229468599034,0.2550304164716893,10,1.0,1.0,0.4,22.988999270508483,20.183785551255824,0.008542890215728877,0.0068503684772972,0.9,0.1
79,0.03483465719261791,0.14395330929555186,0.29505319263324015,0.6495595550792821,2.2014998356133835,0.41243851204855186,2.8650853118060007,0.15730676328502416,0.26158165652784277,10,1.0,1.0,0.4,22.151935402178253,20.436691830997976,0.008318057076073039,0.007039791717725922,0.8,0.1
156,0.03480849599521948,0.022471314183109718,0.7845514751863029,1.5126218688899629,1.9280084439721044,0.06718487937353856,2.9898064183552395,0.14855072463768115,0.25362657931679927,10,1.0,0.9951690821256038,0.4,22.370784223422728,20.051902173615122,0.008527982895797091,0.007233466296542385,0.8,0.1
252,0.03480504495460117,0.10779047586150815,0.4449602253260518,1.1437668143502666,2.570492258071276,0.34981842093266824,3.245355567240686,0.14794685990338163,0.2442676649508657,10,1.0,0.9931561996779388,0.4,23.342998006617876,20.53887710395115,0.008534928661383797,0.007101744014892547,1.0,0.1
274,0.03407716185883972,0.1505070209165826,0.2536038789067806,0.6156902797326946,2.4277636540370477,0.44647587080162143,2.966478693702119,0.14870169082125603,0.24613944782405242,10,1.0,0.99567230273752,0.4,22.36641850249206,20.59868482303648,0.00855178930696629,0.007040013064786677,0.9,0.2
161,0.034034897827515564,0.06985209311675597,0.5714640732208651,1.4268116802261588,2.4967653210190703,0.21341134468100265,3.055188973711798,0.16017512077294685,0.25315863359850255,10,1.0,1.0,0.4,23.1178136103724,20.52073938598853,0.00833309182938338,0.00686030434419369,0.9,0.1
