scope,trades,wins,losses,win_rate_pct,total_pnl,avg_pnl,median_pnl,profit_factor,avg_hold_hours,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct
overall,82,3,3,3.6585365853658534,10.005229909298695,0.12201499889388652,0.0,1.6416701709538233,1.0,1000.0,1009.5179359924136,0.9517935992413573,19.653032471451752,1.9095984120875227
bbrsi,6,3,3,50.0,10.005229909298695,1.6675383182164492,0.4467810573562414,1.6416701709538233,1.0,,,,,
trend,76,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
