timestamp,equity_btc,equity_sol,equity
1725152400000,500.0,500.0,1000.0
1725156000000,500.0,500.0,1000.0
1725159600000,500.0,500.0,1000.0
1725163200000,500.0,500.0,1000.0
1725166800000,500.0,500.0,1000.0
1725170400000,500.0,500.0,1000.0
1725174000000,500.0,500.0,1000.0
1725177600000,500.0,500.0,1000.0
1725181200000,500.0,500.0,1000.0
1725184800000,500.0,500.0,1000.0
1725188400000,500.0,500.0,1000.0
1725192000000,500.0,500.0,1000.0
1725195600000,500.0,500.0,1000.0
1725199200000,500.0,500.0,1000.0
1725202800000,500.0,500.0,1000.0
1725206400000,500.0,500.0,1000.0
1725210000000,500.0,500.0,1000.0
1725213600000,500.0,500.0,1000.0
1725217200000,500.0,500.0,1000.0
1725220800000,499.66179840237396,500.0,999.661798402374
1725224400000,499.92460290523405,500.0,999.924602905234
1725228000000,503.51020324386496,500.0,1003.5102032438649
1725231600000,502.9979698798548,500.0,1002.9979698798547
1725235200000,502.9979698798548,500.0,1002.9979698798547
1725238800000,502.9979698798548,500.0,1002.9979698798547
1725242400000,502.9979698798548,500.0,1002.9979698798547
1725246000000,502.9979698798548,500.0,1002.9979698798547
1725249600000,502.9979698798548,500.0,1002.9979698798547
1725253200000,502.9979698798548,500.0,1002.9979698798547
1725256800000,502.9979698798548,500.0,1002.9979698798547
1725260400000,502.9979698798548,500.0,1002.9979698798547
1725264000000,502.9979698798548,500.0,1002.9979698798547
1725267600000,502.9979698798548,500.0,1002.9979698798547
1725271200000,502.9979698798548,500.0,1002.9979698798547
1725274800000,502.9979698798548,500.0,1002.9979698798547
1725278400000,502.9979698798548,500.0,1002.9979698798547
1725282000000,502.9979698798548,500.0,1002.9979698798547
1725285600000,502.9979698798548,500.0,1002.9979698798547
1725289200000,502.9979698798548,500.0,1002.9979698798547
1725292800000,502.9979698798548,500.0,1002.9979698798547
1725296400000,502.9979698798548,500.0,1002.9979698798547
1725300000000,502.9979698798548,500.0,1002.9979698798547
1725303600000,502.9979698798548,500.0,1002.9979698798547
1725307200000,502.9979698798548,500.0,1002.9979698798547
1725310800000,502.9979698798548,500.0,1002.9979698798547
1725314400000,502.9979698798548,500.0,1002.9979698798547
1725318000000,502.9979698798548,500.0,1002.9979698798547
1725321600000,502.9979698798548,500.0,1002.9979698798547
1725325200000,502.9979698798548,500.0,1002.9979698798547
1725328800000,502.9979698798548,500.0,1002.9979698798547
1725332400000,502.9979698798548,500.0,1002.9979698798547
1725336000000,502.9979698798548,500.0,1002.9979698798547
1725339600000,502.9979698798548,500.0,1002.9979698798547
1725343200000,502.9979698798548,500.0,1002.9979698798547
1725346800000,502.9979698798548,500.0,1002.9979698798547
1725350400000,502.9979698798548,500.0,1002.9979698798547
1725354000000,502.9979698798548,500.0,1002.9979698798547
1725357600000,503.7082287933376,500.0,1003.7082287933376
1725361200000,503.6494000949861,500.0,1003.649400094986
1725364800000,503.86179905822013,500.0,1003.8617990582202
1725368400000,501.3540547773313,500.0,1001.3540547773314
1725372000000,501.10311661262483,500.0,1001.1031166126248
1725375600000,501.10311661262483,500.0,1001.1031166126248
1725379200000,501.10311661262483,500.0,1001.1031166126248
1725382800000,501.10311661262483,500.0,1001.1031166126248
1725386400000,501.10311661262483,500.0,1001.1031166126248
1725390000000,501.10311661262483,500.0,1001.1031166126248
1725393600000,501.10311661262483,500.0,1001.1031166126248
1725397200000,501.10311661262483,500.0,1001.1031166126248
1725400800000,501.10311661262483,500.0,1001.1031166126248
1725404400000,501.10311661262483,500.0,1001.1031166126248
1725408000000,501.10311661262483,500.0,1001.1031166126248
1725411600000,501.10311661262483,500.0,1001.1031166126248
1725415200000,501.10311661262483,500.0,1001.1031166126248
1725418800000,501.10311661262483,500.0,1001.1031166126248
1725422400000,501.10311661262483,500.0,1001.1031166126248
1725426000000,501.10311661262483,500.0,1001.1031166126248
1725429600000,501.10311661262483,500.0,1001.1031166126248
1725433200000,501.10311661262483,500.0,1001.1031166126248
1725436800000,501.10311661262483,500.0,1001.1031166126248
1725440400000,501.10311661262483,500.0,1001.1031166126248
1725444000000,501.10311661262483,500.0,1001.1031166126248
1725447600000,501.10311661262483,500.0,1001.1031166126248
1725451200000,501.10311661262483,500.0,1001.1031166126248
1725454800000,501.10311661262483,500.0,1001.1031166126248
1725458400000,501.10311661262483,500.0,1001.1031166126248
1725462000000,501.10311661262483,500.0,1001.1031166126248
1725465600000,501.10311661262483,500.0,1001.1031166126248
1725469200000,501.10311661262483,500.0,1001.1031166126248
1725472800000,501.10311661262483,500.0,1001.1031166126248
1725476400000,501.10311661262483,500.0,1001.1031166126248
1725480000000,501.10311661262483,500.0,1001.1031166126248
1725483600000,501.10311661262483,500.0,1001.1031166126248
1725487200000,501.10311661262483,500.0,1001.1031166126248
1725490800000,501.10311661262483,500.0,1001.1031166126248
1725494400000,501.10311661262483,500.0,1001.1031166126248
1725498000000,501.10311661262483,500.0,1001.1031166126248
1725501600000,501.10311661262483,500.0,1001.1031166126248
1725505200000,501.10311661262483,500.0,1001.1031166126248
1725508800000,501.10311661262483,500.0,1001.1031166126248
1725512400000,501.10311661262483,500.0,1001.1031166126248
1725516000000,501.10311661262483,500.0,1001.1031166126248
1725519600000,501.10311661262483,500.0,1001.1031166126248
1725523200000,501.10311661262483,500.0,1001.1031166126248
1725526800000,501.10311661262483,500.0,1001.1031166126248
1725530400000,501.10311661262483,500.0,1001.1031166126248
1725534000000,501.10311661262483,500.0,1001.1031166126248
1725537600000,501.10311661262483,500.0,1001.1031166126248
1725541200000,501.10311661262483,500.0,1001.1031166126248
1725544800000,501.10311661262483,500.0,1001.1031166126248
1725548400000,501.10311661262483,500.0,1001.1031166126248
1725552000000,501.10311661262483,500.0,1001.1031166126248
1725555600000,501.10311661262483,500.0,1001.1031166126248
1725559200000,501.10311661262483,500.0,1001.1031166126248
