trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,train_trend_share,test_trend_share,test_active_btc_trades,pen_share_test,pen_share_train,pen_btc_active,pen_balance_test,pen_balance_train,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
485,0.5813970500032567,0.8850032538214165,0.1259877442760172,0.5933652284243696,4.709705946670573,2.4511235003023435,2.7696208909046023,0.5084541062801933,0.5105287786616752,30,1.0,1.0,1.0,1.0,1.0,27.19738570878471,22.322903462998386,0.01898389183707617,0.014411475196659997,1.0,0.1
392,0.37203939049380486,0.645937118799473,-0.03880720196469725,-0.13588393013491684,3.501513205165626,2.0539632975393074,3.17981926995737,0.502566425120773,0.48947122133832477,26,1.0,1.0,1.0,1.0,1.0,26.566871901639537,23.407823968383646,0.018375883553778418,0.014389090944000952,0.9,0.1
332,0.2909747308591995,1.1758436641409373,-0.19058896691210125,-0.9633840833323637,5.054773625887127,3.157555397601297,2.6853530736232556,0.4418780193236715,0.46326626111371083,17,1.0,1.0,0.68,1.0,1.0,26.27383324060589,27.918168560108498,0.011503336649919663,0.010044188630337486,0.8,0.1
213,0.2908486950156921,0.8883426775587583,0.07011279218661222,0.31493229118915167,4.491795025805389,3.5069745516059125,3.947772228216457,0.4477657004830918,0.4342536265793168,18,1.0,1.0,0.72,1.0,1.0,26.047807099350642,26.8162017038331,0.016018003701170395,0.013816984227215124,1.0,0.1
22,0.2647636047400521,0.6490860540585868,-0.19160047540483421,-1.3835520215892294,7.221026036944381,1.5308159780381692,2.3584176065197004,0.4266304347826087,0.47449695835283107,23,1.0,1.0,0.92,1.0,1.0,30.73812004071009,25.498048618983816,0.008747827419588156,0.014663022795670458,0.9,0.2
32,0.2619132657349828,0.7133569557193321,-0.22449932260604222,-1.2910678608218484,5.750876420627117,2.3172001002142117,3.24830378625467,0.4216485507246377,0.44174075807206364,22,1.0,1.0,0.88,1.0,1.0,30.26581180661615,25.291577454142253,0.010439767386044822,0.01268988287164617,0.9,0.1
403,0.23645472590133595,0.9959086899205728,-0.21545296837277153,-1.329029918544089,6.168538445219439,3.6130180103560727,3.6278607134598087,0.4359903381642512,0.4258306036499766,17,1.0,1.0,0.68,1.0,1.0,26.59092200209143,26.964604038426057,0.01871601002940388,0.012824364134136316,1.0,0.2
70,0.23340750128321505,0.7826645254874904,-0.16374963932535339,-0.874020164813194,5.337539480478534,2.7427689385831178,3.5043992020396693,0.44504830917874394,0.4398689751988769,19,1.0,1.0,0.76,1.0,1.0,26.439943850605523,26.294154746944322,0.01964699502987534,0.01416035337894468,0.9,0.2
362,0.22604575115455625,0.4424613597279369,0.0039761762474031315,0.017285335840910854,4.3472257680227395,1.2658823030457178,2.8610007975026126,0.5027173913043478,0.4955545156761816,23,1.0,1.0,0.92,1.0,1.0,24.37212952185227,25.74697885538965,0.018000038518499448,0.011549824753732028,0.8,0.2
33,0.21630817087628362,0.8698013989911694,0.015538202271812993,0.08178758859853641,5.263645508522104,2.867773036794752,3.2970434861577713,0.43568840579710144,0.4258306036499766,16,1.0,1.0,0.64,1.0,1.0,25.793688537239532,27.91047945947738,0.015258424576245704,0.013349939201209693,0.9,0.3
390,0.20737598164246462,0.3916178099809805,0.031193634626770623,0.14393216942969467,4.614151930412461,0.9484587003884437,2.4218987906461837,0.5493659420289855,0.5545156761815629,32,1.0,1.0,1.0,0.9567942690843968,1.0,25.460387064232528,21.841499825936303,0.018846361375243856,0.01438515743835542,0.8,0.3
77,0.18618710181550552,0.5498292055938385,-0.22367491048429627,-1.396589082631694,6.243834320120341,1.6155621678871412,2.938298205062182,0.4503321256038647,0.4590547496490407,22,1.0,1.0,0.88,1.0,1.0,27.806945474586776,25.88746649052478,0.010555889553804737,0.01110960353178427,0.9,0.1
475,0.185595131041563,0.9866229452687085,-0.1910793412255422,-1.0112895907042008,5.292511394575702,3.5015481351009514,3.549023618285401,0.43478260869565216,0.42957416939635,15,1.0,1.0,0.6,1.0,1.0,25.393395946699826,28.53676512795968,0.01621040664516364,0.012497096945916691,1.0,0.2
396,0.18177267505893646,0.8728710820266448,-0.1998542606197006,-0.9425009578542753,4.715941281070535,2.8925909953992246,3.313881115964072,0.41847826086956524,0.41038839494618623,16,1.0,1.0,0.64,1.0,1.0,27.615137407342814,26.698096899588023,0.018126609723796275,0.014804317414077471,0.8,0.1
54,0.1613538558248281,1.025944695982879,-0.2526139841462884,-1.3352249643437175,5.285633607561847,2.870048424319349,2.797468943069856,0.3943236714975845,0.41272812353766963,14,1.0,1.0,0.56,1.0,1.0,27.953685224779168,29.17258229800518,0.015925285887759162,0.009836671884275224,0.9,0.2
219,0.14102904276091122,0.7124106485805537,-0.20784300680081566,-1.2298760153829469,5.917331712592027,2.65414250159004,3.725579491095901,0.4106280193236715,0.4066448291998128,16,1.0,1.0,0.64,1.0,1.0,27.47485699784649,27.198480917585286,0.01878487373706035,0.013374787610573497,1.0,0.2
347,0.13341840014092538,0.6396406055946587,-0.14513961846934795,-0.777697114930509,5.358268976673319,2.1919739834805885,3.426883728625643,0.4101751207729469,0.40758072063640616,16,1.0,1.0,0.64,1.0,1.0,27.063838969228595,27.60445955629521,0.019931128713002122,0.014353491462879356,0.9,0.3
333,0.130856126354267,0.44988936537554003,-0.21119981353146833,-1.2806162913448382,6.063529460238037,1.339922100054225,2.9783369049760493,0.45893719806763283,0.44829199812821713,21,1.0,1.0,0.84,1.0,1.0,27.33747074989461,25.564332038416424,0.015551117334512754,0.011139676179969766,0.9,0.3
57,0.1306765073260582,0.6028301144735771,-0.27405368190491525,-1.6457330128271108,6.005148339507107,2.196815836110666,3.6441706931463447,0.41379830917874394,0.4043051006083294,18,1.0,1.0,0.72,1.0,1.0,29.235262732996315,26.18320802709254,0.01968763194803205,0.01055584672937283,0.9,0.1
426,0.1295451310340761,0.7254813150238574,-0.38782658415950944,-2.0556266659669586,5.30037586366565,2.6505121955341604,3.653453425533087,0.35492149758454106,0.3626579316799251,17,1.0,1.0,0.68,1.0,1.0,32.30690634992201,26.23914664924343,0.017389813166066217,0.01224621007679532,1.0,0.2
422,0.12710809655235697,0.15099063632076123,0.38981603400480386,1.548009649212867,3.9711287227189587,0.3705126606638576,2.453878397311662,0.5289855072463768,0.5474964904071128,26,1.0,1.0,1.0,1.0,1.0,23.072978235328023,25.95898315796977,0.019282168019912685,0.010316161726368197,0.8,0.3
47,0.12276137202969327,0.6320149374179597,-0.19874645379726877,-1.0496915036712795,5.281560921544878,2.1938882340583277,3.471260098726877,0.39205917874396135,0.38090781469349555,16,1.0,1.0,0.64,1.0,1.0,29.763750612657155,26.745455480602754,0.01624343983562098,0.01272851755739117,0.9,0.2
94,0.12257893482957734,0.8041228333939553,-0.35494164710775666,-1.9161929171942815,5.398613920931473,2.6922474433653143,3.348054963197806,0.41847826086956524,0.41459990641085637,15,1.0,1.0,0.6,1.0,1.0,27.74431389988314,27.446602197054126,0.01921161685291082,0.010416697084967607,0.8,0.1
472,0.11850167517936694,0.3665144193010589,-0.2535174410031709,-1.6326869712748993,6.440136681777559,1.2388936633924486,3.380204428941738,0.41455314009661837,0.5208235844642022,25,1.0,1.0,1.0,1.0,1.0,33.74746930349956,25.945564517664867,0.01237258416361937,0.006815187854004527,1.0,0.1
