month,return_pct,equity_end
2024-09,,1010.1725373466447
2024-10,-0.935347900696204,1000.7239097251634
2024-11,0.5128929675804583,1005.85655228304
2024-12,0.31598809764483704,1009.034939267635
2025-01,0.0,1009.034939267635
2025-02,-0.8047637103786975,1000.9145922513674
2025-03,-1.2302000634189847,988.6013403027212
2025-04,-1.1517736734603545,977.2148903296383
2025-05,-1.0327400543594822,967.122800740039
2025-06,0.0,967.122800740039
2025-07,0.6579018216294585,973.4855192635015
2025-08,-0.7434863741247577,966.2477870736997
2025-09,2.0573890631084613,986.1272633674814
2025-10,-1.1678874128339678,974.6104071840886
2025-11,0.0,974.6104071840886
2025-12,-0.7622007767012828,967.1819190907199
2026-01,-0.5272224173299422,962.0827191969117
2026-02,0.0,962.0827191969117
