trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,train_trend_share,test_trend_share,test_active_btc_trades,pen_share_test,pen_share_train,pen_btc_active,pen_balance_test,pen_balance_train,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
213,1.5104497462234419,1.8708436637693957,0.9698588699045115,3.5204763097291814,3.629885150275311,5.816933664789947,3.109256950455137,0.42868217054263563,0.4643154679255762,30,1.0,1.0,1.0,1.0,1.0,26.047807099350642,26.8162017038331,0.016018003701170395,0.013816984227215124,1.0,0.1
1473,1.4612104372789199,2.632569099077695,-0.2958275554192434,-0.9846981685625145,3.3286222007514197,5.835262847248868,2.2165658820857606,0.4418604651162791,0.489030824770897,31,1.0,1.0,1.0,1.0,1.0,24.708434910602172,28.394461889336593,0.01643654870448113,0.010178660657257508,0.8,0.1
967,1.4062149460069366,1.485562599596344,1.2871934656228254,4.680663789676842,3.6363327772271137,4.829310571068124,3.2508293978189413,0.44922480620155036,0.4968064426548181,34,1.0,1.0,1.0,1.0,1.0,24.941533974098235,26.28741436735149,0.018728280435227868,0.014388909372298024,1.0,0.2
77,1.3480259033027349,2.5159959772835214,-0.4039292076684451,-1.6833393991218415,4.1674119305172095,5.95334742023097,2.3661991012635477,0.43294573643410855,0.47597889475145794,38,1.0,1.0,1.0,1.0,1.0,27.806945474586776,25.88746649052478,0.010555889553804737,0.01110960353178427,0.9,0.1
1081,1.3416992689954355,1.797326835517881,0.6582579192117669,2.4688110615741277,3.7505223857092576,4.851451784721417,2.6992596387309384,0.42577519379844964,0.4593168564287698,28,1.0,1.0,1.0,1.0,1.0,26.117262236679753,27.713397401261254,0.015177657036373485,0.010447897470263704,0.9,0.1
1009,1.2792372731571997,2.483112002104201,-0.5265748202633008,-2.863321523424467,5.437634716359459,6.5596309885300075,2.6416975887399943,0.3742248062015504,0.4132185504026659,29,1.0,1.0,1.0,1.0,1.0,30.81506263181063,26.581106027710767,0.010368119903390845,0.012894665232750282,0.9,0.3
32,1.2773696036620759,2.3105007257063543,-0.2723270794043418,-1.051602210998781,3.861541104538482,6.280032027255333,2.7180394091135525,0.4046511627906977,0.45320744237711746,36,1.0,1.0,1.0,1.0,1.0,30.26581180661615,25.291577454142253,0.010439767386044822,0.01268988287164617,0.9,0.1
672,1.2458781464111357,1.5262134883662697,0.8253751334784346,3.2337244610805227,3.91788452294706,4.381210845758732,2.8706408894659847,0.45329457364341086,0.49097472924187724,37,1.0,1.0,1.0,1.0,1.0,25.831880211040872,25.7997511343536,0.017770140364712497,0.012457208813301222,0.9,0.2
485,1.1982441905970735,1.2846605221096237,1.068619693328248,4.9844737476546275,4.66440379002406,3.6376924867053795,2.8316371711428405,0.4844961240310077,0.5404054429325188,53,1.0,1.0,1.0,1.0,1.0,27.19738570878471,22.322903462998386,0.01898389183707617,0.014411475196659997,1.0,0.1
1309,1.191160604083441,2.0945029632820127,-0.16385293471441664,-0.7630741264191387,4.657067191070576,7.1188154661095515,3.398808973253787,0.4273255813953488,0.4593168564287698,29,1.0,1.0,1.0,1.0,1.0,25.501913656221127,28.243440099428007,0.01957232417794316,0.01118411025369373,1.0,0.2
