trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
111,0.7227863523125276,0.711132704350251,0.04661459184910642,0.06436198834074425,1.380726201552659,1.357977882986261,1.9095984120530929,27.649313049633722,21.604115719110034,0.0298963417233368,0.018601666658261802,0.8,0.0
188,0.7091853479626467,0.69753170000037,0.04661459184910642,0.06436198834074425,1.380726201552659,1.3320054266773296,1.9095984120529905,25.2792446645527,18.231625448490146,0.02910741830731721,0.01762409517980998,0.8,0.0
138,0.6805387013876196,0.668885053425343,0.04661459184910642,0.06436198834074425,1.380726201552659,1.277301835866984,1.9095984120529448,29.499496387716274,22.01832920106373,0.02870378381812137,0.018697003133622155,0.7,0.0
55,0.5920514231066313,0.5658305580510368,0.10488346022237793,0.19048654548448063,1.8161733516476646,0.9256702766304858,1.6359496026847533,27.91788968345568,23.892515774040657,0.02808329438360015,0.019308158860483256,0.9,0.2
80,0.5598580750795944,0.5371493692564926,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.9424408916304694,1.754522941979752,26.221105632061896,18.047168668671944,0.02831974429853952,0.01753475125059386,0.7,0.1
184,0.5514446509039613,0.5252237858483668,0.10488346022237793,0.19048654548448063,1.8161733516476646,0.8592396437792083,1.6359496026847355,29.984086240034983,20.828784637070143,0.028483434660392805,0.017502842502514784,1.0,0.2
209,0.530918243323849,0.5082095375007472,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.8916652928778523,1.7545229419795008,28.9645296594728,21.70169327141818,0.02884612484698882,0.017918177972653583,0.7,0.1
129,0.5049100706617183,0.4932564226994417,0.04661459184910642,0.06436198834074425,1.380726201552659,0.941921681521829,1.9095984120530645,24.40434998969675,22.418011272429865,0.02920962718822013,0.019922571393952197,0.7,0.0
38,0.479792420761291,0.46813877279901445,0.04661459184910642,0.06436198834074425,1.380726201552659,0.8939570571574462,1.9095984120530172,29.010131133507656,18.457322183259866,0.02794227653571689,0.015028503829195135,0.9,0.0
90,0.44342753729923073,0.43177388933695415,0.04661459184910642,0.06436198834074425,1.380726201552659,0.8245147334438041,1.9095984120530203,28.01293821312939,25.531764788330477,0.027784042774563353,0.015920978612498523,0.9,0.0
91,0.44183717528915334,0.4156163102335588,0.10488346022237793,0.19048654548448063,1.8161733516476646,0.6799273375958759,1.6359496026847102,27.419193598314102,23.577544019966176,0.027635723796679734,0.01684259039166656,1.0,0.2
221,0.4307217642157003,0.4190681162534237,0.04661459184910642,0.06436198834074425,1.380726201552659,0.8002518093395805,1.9095984120530014,30.31414769033472,19.446767737349575,0.028758611152370564,0.01624740479953913,0.7,0.0
11,0.42622007424098873,0.4035113684178869,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.7079699532388295,1.7545229419797594,24.53179412303592,20.14192700780562,0.028816726563032913,0.019429097143350546,0.8,0.1
18,0.42622007424098873,0.4035113684178869,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.7079699532388295,1.7545229419797594,27.705871192957076,21.47812200535284,0.028825340295407564,0.0195381592752108,0.8,0.1
60,0.41821313860569387,0.4065594906434173,0.04661459184910642,0.06436198834074425,1.380726201552659,0.7763653577377516,1.9095984120530134,28.10176915108589,25.01630729260448,0.029782964569878282,0.01580589733738708,1.0,0.0
150,0.4119063142395175,0.40025266627724093,0.04661459184910642,0.06436198834074425,1.380726201552659,0.7643218559429954,1.9095984120529919,28.863072308208867,19.897645615420597,0.029903155833995894,0.01574811930178645,0.8,0.0
25,0.41174921443193246,0.4000955664696559,0.04661459184910642,0.06436198834074425,1.380726201552659,0.7640218583999214,1.9095984120530527,30.123259395318808,21.191938399979435,0.028467529197810905,0.013734205025292939,0.7,0.0
158,0.3847787135643239,0.37312506560204733,0.04661459184910642,0.06436198834074425,1.380726201552659,0.7125190327708308,1.9095984120529725,31.76094989625344,24.881124775190575,0.02969886277107686,0.019799422427819034,0.8,0.0
265,0.3847787135643239,0.37312506560204733,0.04661459184910642,0.06436198834074425,1.380726201552659,0.7125190327708308,1.9095984120529725,33.21685403966893,19.295735676447197,0.02912058952034222,0.012254702847154667,0.8,0.0
74,0.3647838526341337,0.34207514681103185,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.6001786929609843,1.754522941979568,31.165009096611406,22.901218582094103,0.027636064060433875,0.01504778164824402,0.7,0.1
162,0.3635920932325323,0.3519384452702557,0.04661459184910642,0.06436198834074425,1.380726201552659,0.6720610962284823,1.909598412053001,22.544161732160585,18.933407493816436,0.029926692745590528,0.01037212128224705,1.0,0.0
19,0.35226284805651653,0.3295541422334147,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.578210303172999,1.7545229419797963,24.225433141088473,22.0614533968346,0.027981759487629407,0.016253001935664174,0.9,0.1
181,0.3387377797280744,0.3270841317657978,0.04661459184910642,0.06436198834074425,1.380726201552659,0.6245993386277071,1.9095984120530165,25.750282853702412,20.500386799977065,0.029236545772156765,0.012548897964827792,0.7,0.0
143,0.3384678434010714,0.3157591375779696,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.5540066510201669,1.754522941979367,23.606646603475127,21.471771775385005,0.028386531766303107,0.016337478287807912,0.7,0.1
149,0.3366923121649153,0.3250386642026387,0.04661459184910642,0.06436198834074425,1.380726201552659,0.6206933170171958,1.9095984120530263,28.852165814015613,23.522508099681033,0.02998999033887909,0.013021216705383136,0.7,0.0
