trial,final_score,score_test,score_train,train_return_pct,train_dd_pct,test_return_pct,test_dd_pct,train_trend_share,test_trend_share,test_active_btc_trades,pen_share_test,pen_share_train,pen_btc_active,adx_on,adx_off,vol_on,vol_off,w_trend_btc,w_range_btc
399,0.10371051282252669,0.778586254227851,0.04661459184910642,0.06436198834074425,1.380726201552659,1.4867870747197864,1.9095984120529856,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,24.56446290361264,21.637884927677874,0.027804840549150882,0.017523254953604916,1.0,0.0
314,0.10314904856455111,0.7837618388485333,0.04661459184910642,0.06436198834074425,1.380726201552659,1.4966703628928935,1.9095984120529934,0.0,0.005615348619560131,0,0.5187178287318671,0.5,0.5,28.232883438693328,17.277734601820505,0.02890393876102349,0.019231060139471172,0.8,0.0
111,0.09429424979182503,0.711132704350251,0.04661459184910642,0.06436198834074425,1.380726201552659,1.357977882986261,1.9095984120530929,0.0,0.006551240056153486,0,0.5218374668538449,0.5,0.5,25.649313049633722,19.604115719110034,0.0298963417233368,0.018601666658261802,0.8,0.0
305,0.09307297178943563,0.69753170000037,0.04661459184910642,0.06436198834074425,1.380726201552659,1.3320054266773296,1.9095984120529905,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,24.923909671101317,22.3036850390067,0.028530069875441783,0.017490032014409556,0.8,0.0
312,0.09307297178943563,0.69753170000037,0.04661459184910642,0.06436198834074425,1.380726201552659,1.3320054266773296,1.9095984120529905,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,22.826255033618406,18.08628221652355,0.029473127212185077,0.01753756651781457,0.8,0.0
188,0.09307297178943563,0.69753170000037,0.04661459184910642,0.06436198834074425,1.380726201552659,1.3320054266773296,1.9095984120529905,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,23.2792446645527,16.231625448490146,0.02910741830731721,0.01762409517980998,0.8,0.0
330,0.09051971213838095,0.6690771675420124,0.09083482329240733,0.13056099751631578,1.4373452029077605,1.1739112404072438,1.7545229419796815,0.0,0.0070191857744501636,0,0.5233972859148339,0.5,0.5,27.04950550062593,22.475825468313555,0.028681862244170922,0.017660534675139034,1.0,0.1
138,0.0885172686974889,0.668885053425343,0.04661459184910642,0.06436198834074425,1.380726201552659,1.277301835866984,1.9095984120529448,0.0,0.006083294337856809,0,0.520277647792856,0.5,0.5,27.499496387716274,20.01832920106373,0.02870378381812137,0.018697003133622155,0.7,0.0
325,0.0885172686974889,0.668885053425343,0.04661459184910642,0.06436198834074425,1.380726201552659,1.277301835866984,1.9095984120529448,0.0,0.006083294337856809,0,0.520277647792856,0.5,0.5,27.642067764223338,23.94285278864703,0.029039349290489735,0.018696202853107087,0.7,0.0
52,0.08618312750066288,0.6398846449869714,0.09083482329240733,0.13056099751631578,1.4373452029077605,1.12269228985018,1.754522941979705,0.0,0.006083294337856809,0,0.520277647792856,0.5,0.5,30.408092764305874,23.19185190994072,0.028949526357186447,0.01860702582000903,0.9,0.1
418,0.08618312750066288,0.6398846449869714,0.09083482329240733,0.13056099751631578,1.4373452029077605,1.12269228985018,1.754522941979705,0.0,0.006083294337856809,0,0.520277647792856,0.5,0.5,30.436010980222385,23.702175959950335,0.02992627249510304,0.019187687118298255,0.9,0.1
356,0.08445875862121137,0.6318942367747147,0.04661459184910642,0.06436198834074425,1.380726201552659,1.2066642311304498,1.9095984120530194,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,29.757886650966917,16.13714078081942,0.02762367986094639,0.0167403295211921,0.9,0.0
55,0.07677690717287095,0.5658305580510368,0.10488346022237793,0.19048654548448063,1.8161733516476646,0.9256702766304858,1.6359496026847533,0.0,0.005615348619560131,0,0.5187178287318671,0.5,0.5,25.91788968345568,21.892515774040657,0.02808329438360015,0.019308158860483256,0.9,0.2
80,0.07347536857278018,0.5371493692564926,0.09083482329240733,0.13056099751631578,1.4373452029077605,0.9424408916304694,1.754522941979752,0.0,0.007487131492746842,0,0.5249571049758228,0.5,0.5,24.221105632061896,16.047168668671944,0.02831974429853952,0.01753475125059386,0.7,0.1
