month,equity_end,equity_start,pnl,ret_pct
2025-02,991.8733893435817,1000.0,-8.12661065641828,-0.8126610656418287
2025-03,1023.8915044059869,991.8733893435817,32.01811506240517,3.228044567623156
2025-04,1042.2166275485436,1023.8915044059869,18.325123142556663,1.7897524360442896
2025-05,1057.6767121405715,1042.2166275485436,15.460084592027897,1.4833849492875917
2025-06,1053.8133471129313,1057.6767121405715,-3.8633650276401568,-0.36526898846258593
2025-07,1050.7272293028245,1053.8133471129313,-3.0861178101067708,-0.29285241248477867
2025-08,1053.3992244571984,1050.7272293028245,2.671995154373917,0.2542996012530052
2025-09,1059.4961188649436,1053.3992244571984,6.09689440774514,0.5787828836580688
2025-10,1040.4484985821691,1059.4961188649436,-19.04762028277446,-1.7977999110728726
2025-11,1054.657120609136,1040.4484985821691,14.20862202696685,1.3656247326349291
2025-12,1090.1849880073778,1054.657120609136,35.527867398241824,3.368665199711729
2026-01,1086.3356305069724,1090.1849880073778,-3.8493575004054037,-0.35309213965981634
2026-02,1087.6102504581813,1086.3356305069724,1.2746199512089333,0.11733205792154866
