month,equity_end,equity_start,pnl,ret_pct
2025-02,1000.0,1000.0,0.0,0.0
2025-03,1000.0,1000.0,0.0,0.0
2025-04,1000.0,1000.0,0.0,0.0
2025-05,994.4231453224721,1000.0,-5.5768546775278764,-0.5576854677527887
2025-06,994.4231453224721,994.4231453224721,0.0,0.0
2025-07,994.4231453224721,994.4231453224721,0.0,0.0
2025-08,994.4231453224721,994.4231453224721,0.0,0.0
2025-09,998.2719080014253,994.4231453224721,3.8487626789532214,0.3870347041957878
2025-10,1000.6436198834075,998.2719080014253,2.3717118819821508,0.23758175132169157
2025-11,1000.6436198834075,1000.6436198834075,0.0,0.0
2025-12,1022.4673351018822,1000.6436198834075,21.823715218474717,2.1809678076014194
2026-01,1022.4673351018822,1022.4673351018822,0.0,0.0
2026-02,1001.4438958544239,1022.4673351018822,-21.023439247458327,-2.056147763914973
