trial,final_score,base_score,pen_trades,pen_month,monthly_hhi,monthly_top_share,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,total_trades,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
393,3.0279246633254644,3.555088802976502,1.0,0.8517156198152718,0.1962605383807174,0.30419516443906613,1000.0,1049.83875270421,4.983875270421012,14.599799584811308,1.4018989529173664,71,41,30,38,190,29.0,10,1.3,3.2,0.0031,12,30,2.6,13,35,64,20.0,14,2.6,0.004
372,2.9876055144301024,3.5624003997666676,1.0,0.8386495562446564,0.20298022821703382,0.3559842007676339,1000.0,1080.1011378450667,8.010113784506668,24.788296445308333,2.248515856059111,72,72,0,36,270,26.0,10,1.8,2.9000000000000004,0.002,30,38,1.8,17,29,69,18.0,17,1.7,0.0064
109,2.7863096473575624,3.7780249173278357,1.0,0.737504306702216,0.25499778512457466,0.44218231883350745,1000.0,1079.6708082073164,7.9670808207316535,21.84992192013692,2.108795202538447,51,49,2,38,300,28.0,20,1.9,2.8,0.0035,30,24,1.8,17,29,65,17.0,20,1.6,0.007
217,2.4888699700181616,2.708603715460965,1.0,0.9188756390650495,0.1617210999094031,0.2223789808206318,1000.0,1041.3215299773603,4.132152997736038,15.713428922302228,1.5255657275183225,53,49,4,40,250,28.0,17,1.6,3.2,0.0023,14,16,2.5,10,40,70,13.0,14,1.2,0.0036
113,2.3421049523227224,2.7381263819157735,1.0,0.8553677316691393,0.19438230942729984,0.30746845484540036,1000.0,1038.8789389962335,3.8878938996233403,14.44535852607737,1.419910317252454,71,71,0,38,280,26.0,19,1.2,2.9000000000000004,0.0019000000000000002,18,26,2.2,15,38,67,10.0,20,2.2,0.004
185,2.1175369460503135,3.112213990617977,0.8910925320140798,0.7635522157980041,0.24160171758959786,0.40087319768347746,1000.0,1045.5574099591472,4.555740995914714,14.712298915069027,1.4638263980717159,35,31,4,38,150,30.0,17,2.2,2.8,0.0014000000000000002,20,24,2.2,10,37,71,13.0,12,1.2,0.0036
385,1.876239469453749,2.173137113461547,1.0,0.8633783196795735,0.1902625784505051,0.3522564994537107,1000.0,1049.313799929134,4.931379992913398,23.242804957063868,2.2692447532950655,66,52,14,36,280,28.0,20,1.8,2.7,0.0019000000000000002,24,30,1.9000000000000001,11,35,62,15.0,16,1.6,0.0028
480,1.7476618696690056,2.0791602740009245,1.0,0.8405613994855639,0.20199699455028147,0.3489740134051535,1000.0,1035.3740757296578,3.5374075729657672,17.21496565596783,1.701363582788517,63,50,13,38,240,28.0,15,1.8,1.9000000000000001,0.0011,26,34,2.1,16,37,72,20.0,14,1.7,0.0036
436,1.710639622401609,2.1574605864491776,1.0,0.7928949586129117,0.22651116414193115,0.3458092348688482,1000.0,1072.3721825006178,7.237218250061783,35.465032388829286,3.3545077465229824,90,90,0,38,320,23.0,11,1.8,3.0,0.0031,26,32,1.8,16,36,64,10.0,12,2.6,0.004
347,1.6364704480708787,1.7990604535540604,1.0,0.9096250461389535,0.16647854769996678,0.23502947448097253,1000.0,1025.465581465096,2.546558146509592,14.630256955346113,1.4154933712643414,123,85,38,20,240,28.0,16,1.5,3.6,0.0028,12,30,2.0,16,42,61,18.0,16,1.7,0.007200000000000001
127,1.5308944610754454,1.7011027337167466,1.0,0.8999423907400275,0.17145819904798587,0.27820926099536886,1000.0,1015.2401257012435,1.5240125701243556,9.082215967610068,0.8958968438046855,48,44,4,40,130,28.0,16,1.5,2.6,0.0031,10,24,1.7000000000000002,15,31,69,20.0,20,1.3,0.0068000000000000005
35,1.4874073184804912,1.7128258053742507,1.0,0.8683938050288157,0.18768318598518052,0.34340972951735876,1000.0,1024.5555346961673,2.4555534696167447,14.751936851437335,1.4336270868363108,99,82,17,38,260,25.0,20,1.3,3.4000000000000004,0.0023,14,34,1.7000000000000002,14,36,68,20.0,19,1.7,0.0024000000000000002
458,1.4864668179448999,1.5902168352389139,1.0,0.934757314226002,0.153553381255199,0.20181105854773912,1000.0,1072.0004413453207,7.20004413453208,48.932688366050115,4.527712180490371,136,94,42,38,310,23.0,14,1.5,2.4000000000000004,0.003,30,38,2.4000000000000004,11,42,70,22.0,17,2.1,0.0028
119,1.41446013248209,1.6071392627561856,1.0,0.8801104952512592,0.1816574595850667,0.34070563417244987,1000.0,1036.0222254940159,3.6022225494015903,22.72009933619688,2.241387932508045,79,63,16,38,190,26.0,13,1.4,3.3,0.0034000000000000002,16,24,2.6,19,35,65,22.0,14,2.4000000000000004,0.0044
324,1.3361809287998792,2.3581564259698164,0.7513972111443117,0.7540898231406832,0.24646809095622005,0.3580977776577118,1000.0,1047.0643561751215,4.706435617512139,20.716213146834434,1.9958114591895948,28,27,1,38,190,32.0,20,2.1,2.9000000000000004,0.0032,28,30,2.5,13,40,69,13.0,14,1.9,0.003
52,1.3135197793975448,1.6089653461662845,1.0,0.8163754319055385,0.2144354921628659,0.33851616817986724,1000.0,1029.6970373209979,2.969703732099793,18.652208764989155,1.845722618685212,116,109,7,32,200,23.0,14,1.9,2.6,0.0025,10,30,1.9000000000000001,11,31,69,16.0,17,2.0,0.0068000000000000005
