timestamp,balance,equity,pos_side,pos_qty
1735693200000,1000.0,1000.0,,0.0
1735696800000,1000.0,1000.0,,0.0
1735700400000,1000.0,1000.0,,0.0
1735704000000,1000.0,1000.0,,0.0
1735707600000,1000.0,1000.0,,0.0
1735711200000,1000.0,1000.0,,0.0
1735714800000,1000.0,1000.0,,0.0
1735718400000,1000.0,1000.0,,0.0
1735722000000,1000.0,1000.0,,0.0
1735725600000,1000.0,1000.0,,0.0
1735729200000,1000.0,1000.0,,0.0
1735732800000,1000.0,1000.0,,0.0
1735736400000,1000.0,1000.0,,0.0
1735740000000,1000.0,1000.0,,0.0
1735743600000,1000.0,1000.0,,0.0
1735747200000,1000.0,1000.0,,0.0
1735750800000,1000.0,1000.0,,0.0
1735754400000,1000.0,1000.0,,0.0
1735758000000,1000.0,1000.0,,0.0
1735761600000,1000.0,1000.0,,0.0
1735765200000,1000.0,1000.0,,0.0
1735768800000,1000.0,1000.0,,0.0
1735772400000,1000.0,1000.0,,0.0
1735776000000,1000.0,1000.0,,0.0
1735779600000,1000.0,1000.0,,0.0
1735783200000,1000.0,1000.0,,0.0
1735786800000,1000.0,1000.0,,0.0
1735790400000,1000.0,1000.0,,0.0
1735794000000,1000.0,1000.0,,0.0
1735797600000,1000.0,1000.0,,0.0
1735801200000,1000.0,1000.0,,0.0
1735804800000,1000.0,1000.0,,0.0
1735808400000,1000.0,1000.0,,0.0
1735812000000,1000.0,1000.0,,0.0
1735815600000,1000.0,1000.0,,0.0
1735819200000,1000.0,1000.0,,0.0
1735822800000,1000.0,1000.0,,0.0
1735826400000,1000.0,1000.0,,0.0
1735830000000,1000.0,1000.0,,0.0
1735833600000,1000.0,1000.0,,0.0
1735837200000,1000.0,1000.0,,0.0
1735840800000,1000.0,1000.0,,0.0
1735844400000,1000.0,1000.0,,0.0
1735848000000,1000.0,1000.0,,0.0
1735851600000,1000.0,1000.0,,0.0
1735855200000,1000.0,1000.0,,0.0
1735858800000,1000.0,1000.0,,0.0
1735862400000,1000.0,1000.0,,0.0
1735866000000,1000.0,1000.0,,0.0
1735869600000,1000.0,1000.0,,0.0
1735873200000,1000.0,1000.0,,0.0
1735876800000,1000.0,1000.0,,0.0
1735880400000,1000.0,1000.0,,0.0
1735884000000,1000.0,1000.0,,0.0
1735887600000,1000.0,1000.0,,0.0
1735891200000,999.9733333333334,999.7072287927975,long,0.0013848071698101957
1735894800000,999.9733333333334,1000.2902326112877,long,0.0013848071698101957
1735898400000,1000.3051417798841,1000.3051417798841,,0.0
1735902000000,1000.3051417798841,1000.3051417798841,,0.0
1735905600000,1000.3051417798841,1000.3051417798841,,0.0
1735909200000,1000.3051417798841,1000.3051417798841,,0.0
1735912800000,1000.3051417798841,1000.3051417798841,,0.0
1735916400000,1000.3051417798841,1000.3051417798841,,0.0
1735920000000,1000.3051417798841,1000.3051417798841,,0.0
1735923600000,1000.3051417798841,1000.3051417798841,,0.0
1735927200000,1000.3051417798841,1000.3051417798841,,0.0
1735930800000,1000.3051417798841,1000.3051417798841,,0.0
1735934400000,1000.3051417798841,1000.3051417798841,,0.0
1735938000000,1000.3051417798841,1000.3051417798841,,0.0
1735941600000,1000.3051417798841,1000.3051417798841,,0.0
1735945200000,1000.3051417798841,1000.3051417798841,,0.0
1735948800000,1000.3051417798841,1000.3051417798841,,0.0
1735952400000,1000.3051417798841,1000.3051417798841,,0.0
1735956000000,1000.3051417798841,1000.3051417798841,,0.0
1735959600000,1000.3051417798841,1000.3051417798841,,0.0
1735963200000,1000.3051417798841,1000.3051417798841,,0.0
1735966800000,1000.3051417798841,1000.3051417798841,,0.0
1735970400000,1000.3051417798841,1000.3051417798841,,0.0
1735974000000,1000.3051417798841,1000.3051417798841,,0.0
1735977600000,1000.3051417798841,1000.3051417798841,,0.0
1735981200000,1000.3051417798841,1000.3051417798841,,0.0
1735984800000,1000.3051417798841,1000.3051417798841,,0.0
1735988400000,1000.3051417798841,1000.3051417798841,,0.0
1735992000000,1000.3051417798841,1000.3051417798841,,0.0
1735995600000,1000.3051417798841,1000.3051417798841,,0.0
1735999200000,1000.3051417798841,1000.3051417798841,,0.0
1736002800000,1000.3051417798841,1000.3051417798841,,0.0
1736006400000,1000.3051417798841,1000.3051417798841,,0.0
1736010000000,1000.3051417798841,1000.3051417798841,,0.0
1736013600000,1000.3051417798841,1000.3051417798841,,0.0
1736017200000,1000.3051417798841,1000.3051417798841,,0.0
1736020800000,1000.3051417798841,1000.3051417798841,,0.0
1736024400000,1000.3051417798841,1000.3051417798841,,0.0
1736028000000,1000.3051417798841,1000.3051417798841,,0.0
1736031600000,1000.3051417798841,1000.3051417798841,,0.0
1736035200000,1000.3051417798841,1000.3051417798841,,0.0
1736038800000,1000.3051417798841,1000.3051417798841,,0.0
1736042400000,1000.3051417798841,1000.3051417798841,,0.0
1736046000000,1000.3051417798841,1000.3051417798841,,0.0
